"Z" "Y1" "Y0" "x1" "x2" "x3" "ID" "D"
"1" 1 4.76999824106249 3.7314494429592 0.938388029037457 1 0 0 2.49343983406855
"2" 1 1.95649663398242 7.07937019405569 -1.11711076840226 1 1 1 NA
"3" 1 8.99614342241952 17.700534697559 -0.44461460520464 0 0 1 NA
"4" 1 5.78069886788514 16.7223369304691 -0.29490483651639 1 0 1 NA
"5" 1 35.6994885114411 52.386161377729 0.585504787594045 0 0 0 1.28488340846562
"6" 1 27.2984759502298 13.1381570994323 -1.62367268656978 0 0 1 NA
"7" 1 12.2033885263425 5.35197559424466 -1.53581641338364 0 0 1 NA
"8" 1 7.35956440352383 3.00116937138073 0.538166654598233 1 1 1 NA
"9" 1 13.1000831744459 60.9382635181683 -0.832118032616068 0 0 1 NA
"10" 1 1.96353424191657 0.527906504491057 1.62839788748733 0 0 1 NA
"11" 1 10.3038086816624 3.14656321116319 -1.38142309855324 1 0 1 NA
"12" 1 8.31969928696067 8.21424180854219 -0.567319213568109 0 1 0 1.13875102332017
"13" 1 11.164596583862 17.7523227317535 0.960227310713639 0 0 1 NA
"14" 1 8.54355544269447 1.45417954607801 -0.391079648784425 0 0 1 NA
"15" 1 16.4682738828331 1.83262156304684 0.355390055209984 0 1 1 NA
"16" 1 26.6667551981177 3.95257376468172 0.408205745314749 1 0 1 NA
"17" 1 3.61716132644096 1.9343915172534 0.825159664945629 0 1 1 NA
"18" 1 16.3697024859118 11.4956621195093 -1.60794103787942 1 1 1 NA
"19" 1 2.55781629097644 7.7722760274184 -1.68116270478773 1 0 1 NA
"20" 1 5.27460330981774 38.725590980276 -0.764757723078773 0 0 1 NA
"21" 1 5.31740601358775 9.41482668917953 -0.463571380215899 0 0 1 NA
"22" 1 1.37962960163538 10.5402991328911 2.08666991364292 0 0 0 0.733261621322639
"23" 1 9.69151271911852 6.19461496295833 -0.579399613040082 1 1 0 1.34496886023208
"24" 1 4.76689231187532 3.65119188133577 -0.00157857110865101 1 0 1 NA
"25" 1 5.47795882501957 10.3708269381084 0.477720918545622 1 0 0 1.94430486870502
"26" 1 1.82844677476397 4.83687826993392 -0.0444543040646598 1 1 1 NA
"27" 1 1.00159952985724 1.51503443609803 -1.10347793460853 1 0 1 NA
"28" 1 4.05235061607552 7.80736128403624 -0.153701094948195 1 0 1 NA
